Product name,Product number,Product price,Product description,Product url
Aluminum Fiddle Block with Adj. Cam and Becket,504-76,$374.65,"Fiddle block with becket and adjustable cam cleat. Works with 504-45 for a 4:1 purchase. Delrin(tm) ball bearing sheaves ensure smooth operation and high safe working load. Adjustable cam cleat bracket allows you to achieve the correct angle for proper cam engagement. Lower Sheave Dia. 2"" (51mm), Upper sheave diameter 1-7/16"" (37mm), Thickness 2 5/16"" (58mm), Width 4 1/8"" (105mm), Length 7 3/16"" (183mm), SWL 1750 lbs. (795kg), Weight 13.6oz. (386g),",https://hardware.schaefermarine.com/collections/blocks/products/aluminum-fiddle-block-with-adj-cam-and-becket-504-76
303-33 Double block with,303-33,$180.95,"Double block with Fixed Shackle and Becket.   Works with 303-23 for a 4:1 purchase.  Length 4-1/2"" (114mm), Width 1-9/16"" (40mm), Thickness 3/4"" (19mm), Weight 2.8 oz (79g)",https://hardware.schaefermarine.com/collections/blocks/products/303-33-double-block-with-becket
"Single, Front-Side Shackle, Becket",,$56.90,"Sheave Dia. Thickness 3/4"" (19mm), Thickness 15/32"" (12mm), Width 7/8"" (22mm), Length 2-3/8"" (61mm), SWL 750 lbs (340kg), Weight 1.25 oz (35g) Max Line 1/4"" (6mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-front-side-shackle-becket-01-13
Single Webbing/Lashing Block,M82-02,$160.00,"Our M82-02 Webbing/Lashing block features a machined aluminum body with Torlon (tm) rollers and Delrin (tm) ball bearings.   Block may be ""opened"" to install a webbing or lashing loop.   Length = 4-1/2"" (114mm), Width = 3-7/32"" (82mm), Thickness = 1-1/8"" (28mm), Weight = 9.1 oz (258gm)   Does not include webbing or lashing.",https://hardware.schaefermarine.com/collections/blocks/products/single-webbing-lashing-block-m82-02
5 Series Over the Top Block Triple/BB,506-42,$252.35,"5 Series Triple Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheaves ensure low-friction and high safe working loads.  Sheave Diameter 2"" (51mm), Max line size 7/16""(11mm), Length 2-7/8""(73mm), Width 3-17/32"" (90mm), Height 2-15/16"" (74mm), Bearing Height 2"" (51mm), Fasteners (6) #10 RH (5mm), C/C 2-5/16"" (59mm), Safe Working Load 1000 lbs (450kg), Weight 1lb 1 oz (482)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-over-the-top-block-triple-bb-506-42
Single Block / Front-Side Shackle,,$47.15,"Sheave Dia. Thickness 3/4"" (19mm), Thickness 15/32"" (12mm), Width7/8"" (22mm), Length 1 31/32"" (50mm), SWL 750 lbs (340kg), Weight 1 oz. (28g) Max Line 1/4"" (6mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-block-front-side-shackle-01-03
7 Series Utility Block/Delrin SS Cheeks,705-38,$214.65,"7 Series Utility block with Stainless Steel cheeks and Delrin(tm) sheave.  Stainless Steel cheeks feature an aluminum sheave with our nomex(tm)/Teflon(tm) bearing ensuring smooth operation and high safe working load.  Easily removable Stainless steel ferrule allows a variety of attachments.Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), Pin dia. 1/4"" (6 mm), Length 3-23/32"" (94 mm), Width 2-1/2"" (64 mm), Thickness 1"" (25 mm), SWL 2250 (1020 kg), Weight 6.5 oz. (184 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-utility-block-delrin-ss-cheeks-705-38
7 Series Flat Base/Alum Cheek/Alum Sheave,704-10,$216.80,"7 Series Cheek Block with anodized Aluminum cheek. Aluminum sheave runs on Nomex(tm)/Teflon(tm) bearing for low friction and high safe working load. Stainless steel base distributes loads to a large surface area. Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-3/8"" (111 mm), W 2-3/4"" (70 mm), H 1"" (25 mm), Fasteners (4) 1/4"" RH (6 mm), C/C 3-5/8"" (92 mm), C/C (wide end) 2"", (51mm), C/C (short end) 1-9/16"", SWL 2250 lbs. (1020 kg), Weight Alum. 11.0 oz. (312 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-flat-base-alum-cheek-alum-sheave-704-10
5 Series Flat Base/Dbl/Alum Cheek,504-28,$179.25,"Delrin Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), L 3-5/8"" (92 mm), W 2-7/32"" (57 mm), H 7/8"" (22 mm), Fasteners (4) #10 RH (5 mm), C/C 3"" (76 mm), C/C (wide end) 1-5/8"", C/C (narrow end) 1-3/8"", SWL 1750 lbs. (795 kg), Weight 6.5 oz. (184 g), Max Line 7/16"" (11mm)** TOP Sheave Safe Working Load 350 lbs. (159kg)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-flat-base-dbl-alum-cheek-504-28
7 Series Flat Base/Double Sheave/Alum Cheek,704-28,$273.95,"7 Series Double Cheek Block with anodized Aluminum cheek. Delrin(tm) sheaves ensures smooth operation and high safe working load. Stainless steel base distributes loads to a large surface area. Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-3/8"" (111 mm), W 2-3/4"" (70 mm), H 1-29/32"" (48 mm), Fasteners (4) 1/4"" RH (6 mm), C/C 3-5/8"" (92 mm), SWL 2250 lbs. (1020 kg), Top Sheave Safe Working Load = 500 lbs (227kg) Weight Alum. 13 oz. (368 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-flat-base-double-sheave-alum-cheek-704-28
M66-10 Foot,M66-10,$150.00,"M66-10 Foot Block.   Computer machined anodized aluminum body utilizes Torlon (tm) Rollers and Delrin (tm) Ball Bearings for an incredibly smooth and reliable block.  Length 3-11/16"" (94mm), Width 2-5/8"" (66mm), Thickness 1-3/32"" (27mm), Weight 7.2 oz (204gm), Safe Working Load 2800 lbs (1270 kg)",https://hardware.schaefermarine.com/collections/blocks/products/m66-10-foot-block
5 SeriesUtility Block/Delrin/Alum. Cheeks,504-38,$131.10,"5 Series Utility block with Delrin(tm) sheave.  Anodized aluminum cheeks feature a Delrin(tm) sheave ensuring smooth operation and high safe working load.  Easily removable Stainless steel ferrule allows a variety of attachments.  Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Pin dia. 1/4"" (6 mm), Length 3-3/32"" (79 mm), Width 2-1/8"" (54 mm), Thickness 13/16"" (21 mm), SWL 1750 lbs (795 kg), Weight 3.5 oz. (99 g)",https://hardware.schaefermarine.com/collections/blocks/products/5-seriesutility-block-delrin-alum-cheeks-504-38
Half-Moon Fixed Base/,32-06,$313.55,"Half-Moon base block.  Aluminum sheave features Nomex(tm)/Teflon(tm) bearing  for a low-friction high strength sheave. Heavy Duty Stainless Steel cage includes a flare on each side for a low-friction lead into the block.  Sheave Dia. 2-3/8"" (60 mm), Max Line 5/8"" (16mm), Length 3-5/16""(100mm), Width 1-5/8"" (41mm), Height 3-5/32"" (80mm), Bearing Height 25/32"" (20mm) Fasterners (2) 1/4"" RH (6mm), C/C 3"" (76mm), SWL 3000 lbs. (1361 kg), Weight 11.3 oz (320g)",https://hardware.schaefermarine.com/collections/blocks/products/half-moon-fixed-base-32-06
7 Series Utility Block/Mast Collar Delrin,705-20,$215.40,"705-20 fits Isomat mast collar with a pin diameter of .510"". Stainless steel cheeks and Delrin(tm) sheave ensure smooth operation and high safe working load.  Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), Pin dia. .510 Hole, Length 3-23/32"" (94 mm), Width 2-1/2"" (64 mm), Thickness 1"" (25 mm), SWL 2250 (1020 kg), Weight 1 lb. 3 oz (539 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-utility-block-mast-collar-delrin-705-20
"7 Series Flat Base/Dbl/SS Cheeks,",705-28,$318.80,"7 Series Cheek Block with Stainless Steel cheeks. Delrin(tm) sheave ensures smooth operation and high safe working load.  Stainless steel base distributes loads to a large surface area.  Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-3/8"" (111 mm), W 2-3/4"" (70 mm), H 1-29/32"" (48 mm), Fasteners (4) 1/4"" RH (6 mm), C/C 3-5/8"" (92 mm), SWL 2250 lbs. (1020 kg), Top Sheave Safe Working Load = 500 lbs (227kg), Weight Stain. 15.9 oz. (447 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-flat-base-dbl-ss-cheeks-705-28
Universal Slide for 1-1/4” ”T” Track,704-73,$288.15,"7 Series T-Track Slider.  Works with any 7 series block for unique applications.  Stainless Steel slider works with 1-1/4"" x 3/16"" t-track.  Polyethylene liners allows easy slide adjustment with pin-stop.   Weight=9 oz. (255g) L = 4” (102mm), H = 2-5/32” (55mm)",https://hardware.schaefermarine.com/collections/blocks/products/universal-slide-for-1-1-4-t-track-704-73
"Twin Sheet Silver/Genoa Lead for 1-1/4"" T-Track",32-58,$758.10,"32-58 Twin Sheet lead block. Clear anodized aluminum body and slider provide a high strength block. Aluminum sheave runs on nomex(tm)/Teflon(tm) bearing for a low-friction, high strength sheave. Articulating sheave allows for a proper lead. Pin stop makes adjustment simple.  Track Size 1-1/4"" x 3/16"" (31 mm x 4.6 mm), Boat Size Up To LOA, 44', Disp. 28000 lbs., Sail Area 875 sq. ft. (13.4 m, 12701 kg, 81.3 m2), Sheave Dia. 2-11/16"" (68 mm), Max Line 3/4"" (19 mm), L 5-7/8"" (149 mm), W 1-3/4"" (44 mm), H 5-1/8"" (130 mm), Bearing Height 3"" (76 mm), SWL 4400 lbs. (2000 kg), Weight 2 lbs. 2 oz. (1.0 kg)",https://hardware.schaefermarine.com/collections/blocks/products/twin-sheet-silver-genoa-lead-for-1-1-4-t-track-32-58
"Twin Sheet Silver for 1-1/4"" T-Track",32-98,$460.95,"32-98 Twin Sheet lead block. Clear anodized aluminum body and slider provide a high strength block. Aluminum sheave runs on nomex(tm)/Teflon(tm) bearing for a low-friction, high strength sheave. Articulating sheave allows for a proper lead. Pin stop makes adjustment simple.  Track Size 1-1/4"" x3/16"" (32 mm x 5 mm), Boat Size Up To LOA, Sail Area: 38', Disp. 18000 lbs., Sail Area 715 sq. ft. (11.5m, 8182 kg, 66 m2), Sheave Dia 2"" (51 mm), Max Line (2) 5/8"" (16 mm), L 4-1/2"" (114 mm), W 1-3/4"" (44 mm), H 4-1/2"" (114 mm), Bearing Height 2-3/4"" (70 mm), SWL 3500 lbs. (1590 kg), Weight 1 lb. 7 oz. (652 g)",https://hardware.schaefermarine.com/collections/blocks/products/twin-sheet-silver-for-1-1-4-t-track-32-98
"Twin Sheet Control System for 1 1/4"" T-Track",17-60,"$3,637.80","Our 1-1/4"" T-Track Twin sheet lead control system allows for full adjustment of the lead from the safety of the cockpit.   The car and the blocks fit on your existing 1-1/4"" T-Track for easy installation.   Polyethylene liners on the leads allow for easy adjustment of the car.  For Boats to 40', fits 1 1/4"" T-Track. Includes: 17-68 Lead Blocks (2) 506-45 Fiddle (2), 74-44 Adjustable Fiddle (2), 70-29 Cam Cleat (2), 78-51 Bullseye (2), 78-92 Dead End Bail (2), 50' 5/16"" Line (2), 10' 5/16"" Shock Cord (2).   Safe Working Load 3500 lbs",https://hardware.schaefermarine.com/collections/blocks/products/twin-sheet-control-system-for-1-1-4-t-track-17-60
Triple Stainless Block w/ Adj. Cam and Becket,705-98,$735.90,"Triple block with Stainless Steel cheeks, Delrin(tm) sheaves, adjustable cam bracket and becket.  Works with 705-94 for a powerful 6:1 purchase.  Adjustable cam bracket allows for proper cam angle.  Delrin(tm) sheaves ensure smooth operation and high safe working load.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 29/32"" (74mm), Width 4 21/32"" (118mm), Length 6 9/32"" (160mm), SWL 2250 lbs. (1020kg), Weight 2lb. 1oz (935g), Max Line 1/2""(13mm)",https://hardware.schaefermarine.com/collections/blocks/products/triple-stainless-block-w-adj-cam-and-becket-705-98
Stainless Fiddle Block with Cam and Becket,23-55,$607.35,"8 Series Fiddle Block with Stainless Steel cheeks, becket and cam cleat.  Works with 08-45 for a 4:1 purchase.  Delrin(tm) sheaves run on Nomex(tm)/Teflon(tm) bearings for low-friction and high safe working loads.  Stainless Steel D shackle run on a swivel head that may be locked in place to avoid line twist.  Bolted construction allows for easy maintainence.  Fast entry cam cleat engages line easily.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 11/16"" (68mm), Width 4"" (102mm), Length 9 7/16"" (240mm), SWL 2750 lbs (1250kg), Weight 1lb 13oz (822g), Max Line 9/16"" (14mm)",https://hardware.schaefermarine.com/collections/blocks/products/stainless-fiddle-block-with-cam-and-becket-23-55
Triple Ball Bearing Block,706-94,$385.65,"Triple block with anodized aluminum cheeks and Delrin(tm) ball bearings.  Works with 706-98 for a low-friction 6:1 purchase.  Delrin(tm) ball bearings ensure low-friction operation and high safe working loads.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 29/32"" (74mm), Width 2 1/2"" (64mm), Length 5 1/32"" (128mm), SWL 1700 lbs. (771kg), Weight 14.3oz (405g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/triple-ball-bearing-block-706-94
Single Stainless Steel Foot Block,37-55,"$1,558.35","37-55 Single Stainless Steel Foot Block. Computer machined base features aluminum sheaves with our nomex(tm)/Teflon(tm) bearing and Delrin(tm) ball bearings for a low-friction high strength block. Stainless Steel Top plate is easily removed for installation. Wide computer machined aluminum base spreads loads over a wide area.Boat Size Up To LOA 45', Disp. 30,000 lbs., Sail Area 900 sq. ft. (13.6 m, 13,636 kg, 83.6 m2), Sheave Dia. 4"" (102 mm), Max Line 3/4"" (19 mm), L 8-3/4"" (222 mm), W 4-5/32"" (106 mm), H 1-21/32"" (42 mm), Fasteners (5) 3/8"" FH (10 mm), SWL 7500 lbs. (3409 kg), Weight Alum. 4 lbs 11 oz. (1.52 g) -   Consult Schaefer for proper Foot block sizing as loads may be extreme.",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-steel-foot-block-37-55
Triple Aluminum Block w/ Adj. Cam and Becket,704-98,$621.95,"Triple block with anodized aluminum cheeks, delrin(tm) sheaves, becket and adjustable cam cleat.  Works with 704-94 for a powerful 6:1 purchase.  Delrin(tm) sheaves ensure low friction and high safe working load.  Adjustable cam bracket allows for a proper cam angle for secure engagement.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 29/32"" (74mm), Width 4 21/32"" (118mm), Length 6 9/32"" (160mm), SWL 2250 lbs. (1020kg), Weight 1lb. 11oz (765g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/triple-aluminum-block-w-adj-cam-and-becket-704-98
Single Ball Bearing Block with Becket,706-15,$224.90,"Single ball bearing block with Anodized Aluminum cheeks and delrin(tm) ball bearing sheave.  Delrin(tm) ball bearing sheave ensures low-friction and high safe working load.  Swivel head may be locked in place to eliminate line twist.  Removable becket allows for the use of pre-spliced line.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 6 9/32"" (160mm), SWL 1700 lbs. (771kg), Weight 9oz (255g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-ball-bearing-block-with-becket-706-15
Triple Ball Bearing Block w/ Adj. Cam/Becket,706-98,$689.65,"Triple block with anodized aluminum cheeks, Delrin(tm) ball bearings, becket and adjustable cam cleat.  Works with 706-94 for a powerful 6:1 purchase.  Delrin(tm) ball bearing sheaves provide low-friction operation and high safe working loads.  Adjustable cam bracket ensures proper cam angle.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 29/32"" (74mm), Width 4 21/32"" (118mm), Length 6 9/32"" (160mm), SWL 1700 lbs. (771kg), Weight 1lb 11oz (765g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/triple-ball-bearing-block-w-adj-cam-becket-706-98
Single Stainless Steel Block with Becket,705-15,$224.90,"Single block with Stainless Steel cheeks and becket.  Delrin(tm) sheaves ensure smooth operation and high safe working load.  Removable becket allows for easy attachment of pre-spliced lines.  Swivel head may be locked in place to eliminate twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 6 9/32"" (160mm), SWL 2250 lbs. (1020kg), Weight 12.7oz (360g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-steel-block-with-becket-705-15
Stainless Steel Fiddle Block w/ Becket,705-55,$290.85,"Fiddle block with stainless steel cheeks and becket. Works with 705-45 for a 4:1 purchase. Delrin(tm) sheaves feature a single top sheave and two in-line sheaves to spread the load reducing friction and chafe. Swivel head design may be locked in place to avoid twist. Removable becket allows for pre-spliced lines to be used. Upper Sheave Dia. 2 3/8"" (60mm), Lower sheaves diameter 1-13/16"" (46mm)Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 3 31/32"" (101mm), Length 8 25/32"" (223mm), SWL 2250 lbs. (1020kg), Weight 1lb. 7oz. (652g),",https://hardware.schaefermarine.com/collections/blocks/products/stainless-steel-fiddle-block-w-becket-705-55
Single Stainless Steel Foot Block,37-15,$711.20,"Boat Size Up To LOA, Displ., Sail Area: 33', 12000 lbs., 530 sq. ft. (10 m, 5455 kg, 48 m2), Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-5/8"" (118 mm), W 2-15/32"" (63 mm), H 1-1/4"" (32 mm), Fasteners (4) 1/4"" FH (6 mm), SWL 2500 lbs. (1136 kg), Weight Stain 14 oz. (397 g)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-steel-foot-block-37-15
Single Aluminum Block with Becket,704-15,$195.25,"Single block with anodized aluminum cheeks and becket.  Removable becket allows use or pre-spliced line for easy installation.  Delrin(tm) sheave ensures smooth operation and high strength.  Swivel head may be locked in place to eliminate twists.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 6 9/32"" (160mm), SWL 2250 lbs. (1020kg), Weight 9.0 oz (255g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-aluminum-block-with-becket-704-15
Stainless Swivel Series 8 Single Block,08-77,$425.50,"8 Series Single block works with 78-77 base only.  Stainless Steel cheeks, Delrin(tm) sheave runs on Nomex(tm)/Teflon(tm) bearing for low-friction yet high strength operation.  Spring mounted, on 1”-12 threaded stainless steel plug. Height = 4-5/8” (119mm) SWL: 2750 lbs.   Works with 78-77 Base.",https://hardware.schaefermarine.com/collections/blocks/products/stainless-swivel-series-8-single-block-08-77
Single Aluminum Foot Block,37-43,$872.35,"Boat Size Up To LOA, Displ., Sail Area: 38', 18000 lbs., 715 sq. ft. (11.5 m, 8182 kg, 66 m2), Sheave Dia. 3-1/4"" (83 mm), Max Line 5/8"" (16 mm), L 6-23/32"" (171 mm), W 3-3/8"" (86 mm), H 1-5/16"" (34 mm), Fasteners (4) 5/16"" FH (8 mm), SWL 4400 lbs. (2000 kg), Weight Alum. 1 lb. 11 oz. (765 g)",https://hardware.schaefermarine.com/collections/blocks/products/single-aluminum-foot-block-37-43
Screw Plug adapts all 7 series to 78-81 base.,704-12,$192.20,704-12 screw in eye fits our 78-81 deck plate.  Accepts any 7 series block for a unique attachment in challenging areas on your deck.  Weight = 4.5 oz. (128g),https://hardware.schaefermarine.com/collections/blocks/products/screw-plug-adapts-all-7-series-to-78-81-base-704-12
3 Series Over The Top Triple/BB,300-42,$274.20,"3 Series Triple Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheaves ensure low-friction and high safe working loads.  Sheave Dia. 1-7/16"" (37 mm), Max line 7/16"" (11 mm), L 2-11/32"" (60 mm), W 3-3/8"" (86 mm), H 2-11/32"" (60 mm), Bearing Height 1-13/32"" (36 mm), Fastners (6), #10 RH (5 mm), C/C 1-25/32"" (45 mm), SWL 650 lbs. (295 kg), Weight 10.0 oz. (328 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-over-the-top-triple-bb-300-42
5 Series Halyard Lift Turning Block / Delrin BB,506-60,$117.70,"506-60 Ball Bearing Halyard/Control Block.  Delrin(tm) ball bearing sheave ensures low-friction yet high strength.  Anodized aluminum cheeks with Stainless steel base provide a solid platform.  Ball bearing sheave is ideal for control lines under regular adjustment.  Sheave Dia. 2, (51 mm), Max Line 7/16, (11 mm), Jaw Opening 2-9/32, (58 mm), Pin. Dia. 1-5/16, (49 mm), Length 2-9/16, (65mm), Width 5/8, (16 mm), T (4), #10 RH (5 mm), C/C Length 1-21/32, (42 mm), C/C Across 1-13/32, (35 mm), SWL 1500 lbs. (680 kg)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-halyard-lift-turning-block-delrin-bb-506-60
Half-Moon/Alum. Sheave,32-33-UC,"$1,174.15","32-33-UC half-moon lead block.  Stainless steel cage and slider ensure high safe working load.  Aluminum sheave runs on Nomex(tm) bearing with Torlon(tm) ball bearings for a low-friction sheave and high safe working load.  Center pin adjustment prevents snagging and accidental release.  SS Springs keep block upright while allowing up to a 45 degree articulation to both sides.  Track Size 1-1/4"" x 3/16"" (32 mm x 5 mm), Up to boat size 44', Displacement 18000 lbs., Sail Area 715 sq. ft. (11.5 m, 8182 kg, 66 m2), Sheave Dia. 3-1/4"" (83 mm), Max Line 3/4"" (19 mm), L 5-1/2"" (140 mm), W 1-5/8"" (41 mm), H 5-7/32"" (140 mm), Bearing Height 2-3/32"" (54 mm), SWL 5000 lbs. (2270 kg), Weight 2 lbs. 2 oz. (964 g)",https://hardware.schaefermarine.com/collections/blocks/products/half-moon-alum-sheave-32-33-uc
7 Series Over The Top Double/ BB,706-41,$287.80,"7 Series Double Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheaves ensure low-friction and high safe working loads.Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 3-3/8"" (86 mm), W 3-5/32"" (80 mm), H 3-7/16"" (87 mm), Bearing Height 2-5/16"" (58 mm), Fastners (6), #10 RH (5 mm), C/C 2-13/16"" (72 mm), SWL 1200 lbs. (545 kg), Weight 1 lb. 2 oz. (510 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-over-the-top-double-bb-706-41
Adjustable Lead car only,17-68,$877.05,"17-68 Adjustable lead car for 1-1/4"" T-Track.  Features Stainless steel slider with polyethylene liners for easy adjustment.  Aluminum cage is hardcoat anodized for durability.  Aluminum sheave runs on our Nomex(tm) bearing for low friction yet high safe working load.  Includes attachment point for a 5 series block on the front and a bail on the back side for adjustability options.  Track Size 1-1/4"" x 3/16"" (31 mm x 4.6 mm), Boat Size 40' 23,000 lbs. 800 sq. ft., Sheave Dia. 2"" (51mm), Max Line 5/8"" (16 mm), L 5-1/32"" (128 mm), W 1-9/16"" (40 mm), H 4-3/8"" (111 mm), Bearing Height 2-9/16"" (65 mm), SWL 3500 lbs. (1590 kg), Weight 1 lb. 10 oz. (0.72 kg)",https://hardware.schaefermarine.com/collections/blocks/products/adjustable-lead-car-only-17-68
Double Ball Bearing Block with Becket,706-35,$346.65,"Double block with ball bearing sheaves and becket.  Works with 706-25 for a 4:1 purchase.  Removable becket allows pre-spliced lines to be easily attached.  Swivel head design may be locked in place to eliminate twists.  Delrin(tm) ball bearing sheaves provide low-friction yet high safe working load.  Sheave Dia. 2 3/8"" (60mm), Thickness 2"" (51mm), Width 2 1/2"" (64mm), Length 7 3/32"" (180mm), SWL 1700 lbs. (771kg), Weight 14.3oz (405g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/double-ball-bearing-block-with-becket-706-35
Double Ball Bearing Block,706-25,$319.50,"Sheave Dia. 2 3/8"" (60mm), Thickness 2"" (51mm), Width 2 1/2"" (64mm), Length 5 27/32"" (148mm), SWL 1700 lbs. (771kg), Weight 12.4oz (352g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/double-ball-bearing-block-706-25
Double Aluminum Block with Becket,704-35,$272.35,"Sheave Dia. 2 3/8"" (60mm), Thickness 2"" (51mm), Width 2 1/2"" (64mm), Length 7 3/32 (180mm), SWL 2250 lbs. (1020kg), Weight 14.3oz (405g), Max Line 1/2"" (13mm)  Works with 704-25 or 704-45 for a 4:1 purchase.",https://hardware.schaefermarine.com/collections/blocks/products/double-aluminum-block-with-becket-704-35
"Clear Step Lead Block for 1-1/4"" Stanchions",706-44,$224.65,"706-44 ""Clear Step"" Outside lead furling block. Unique design leads your furling control line outside of your stanchions for a clean lead aft to the cockpit. Stainless cheeks with Aluminum ball bearing sheave ensure low-friction and high strength. Locks in place with a small set screw accessed through a small hole in the sheave.  Fits 1-1/4"" (32mm) stanchions, Length 3-5/8"" (92mm), Thickness 1-1/8"" (29mm), Safe Working load 850 lbs (390kg), Weight 7oz (198 g), Maximum line size 5/8"" (16mm)",https://hardware.schaefermarine.com/collections/blocks/products/clear-step-lead-block-for-1-1-4-stanchions-706-44
Clear Step Furling Block Kit,300-76,$525.00,"300-76 Clear Step block kit.  Includes (1) 300-35 spring clamp on block and (3) 506-44 clear step blocks.  Delrin(tm) ball bearing sheaves ensure low-friction throughout the system for easy furling and reefing.  Maximum line size 1/2""(12mm), Safe Working load 750 lbs (340g)",https://hardware.schaefermarine.com/collections/blocks/products/clear-step-furling-block-kit-300-76
7 Series Organizer Double - SS Top Plate,705-80,$347.10,"7 Series Double Stainless Steel deck organizer. Stainless Steel base and Stainless Steel top strap provide a high strength base. Delrin(tm) sheaves ensure smooth operation and high strength. Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), Length 6-31/32"" (177 mm), Width 2-3/8"" (60 mm), Height 1"" (25 mm), Fasteners (2) 5/16"" RH (8 mm), CC 2-3/4"" (70 mm), SWL 3000 lbs. (1365 kg), Weight Stain. 1 lb. 4.4 oz. (578 g), Weight Alum. 15.5 oz. (439 g)   7 Series deck organizers may be ordered with aluminum sheaves part # 62-070-BW",https://hardware.schaefermarine.com/collections/blocks/products/7-series-organizer-double-ss-top-plate-705-80
Deck Plate for 7 Series,704-02,$150.35,"7 series base accepts any 7 series block for a wide variety of applications.  Stainless steel base spreads loads and may be used with 97-49 backing plate. (sold separately)  Weight=7.5 oz (213g), Overall Dia.=3-3/8” (86mm), H=1-15/16” (49mm), C/C=1-11/16” (43mm)",https://hardware.schaefermarine.com/collections/blocks/products/deck-plate-for-7-series-blocks
Ball Bearing Fiddle Block with Cam and Becket,706-75,$511.65,"Fiddle block with anodized aluminum cheeks, ball bearing sheaves, becket and cam cleat.  Works with 706-45 for a 4:1 purchase. Delrin(tm) ball bearing sheaves ensure smooth operation and high safe working load.  Swivel head design may be locked in place to avoid twist.  Sheave Dia. 2 3/8"" (60mm), Sheave Dia. 2 3/8"" (60mm), Thickness 2 11/16"" (68mm), Width 4"" (102mm), Length 8 25/32"" (223mm), SWL 1700 lbs. (771kg), Weight 1lb. 5oz. (595g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/ball-bearing-fiddle-block-with-cam-and-becket-706-75
